Date,Median income,Population,Mortgage Rate,Interest Rate,property_type,price,Median income_normalized,Population_normalized,Mortgage Rate_normalized,Interest Rate_normalized
2021-11-01,5276.666666666667,12815623.66666667,3.4,0.5,Apartment_unit,516600,1.658956856462407,1.6950837499855151,-1.2395229039405267,-0.9442501842541555
2021-12-01,5276.666666666667,12815623.66666667,3.45,0.5,Apartment_unit,526600,1.658956856462407,1.6950837499855151,-1.1866556154781023,-0.9442501842541555
2022-01-01,5066.666666666667,12855344.0,3.44,0.5,Apartment_unit,542000,0.713105772672658,1.757003821533423,-1.1972290731705875,-0.9442501842541555
2022-02-01,5066.666666666667,12855344.0,3.58,0.5,Apartment_unit,558200,0.713105772672658,1.757003821533423,-1.0492006654758,-0.9442501842541555
2022-03-01,5066.666666666667,12855344.0,3.77,0.75,Apartment_unit,571000,0.713105772672658,1.757003821533423,-0.8483049693185887,-0.7461093323373699
2022-04-01,5066.666666666667,12894141.33333333,4.19,1.25,Apartment_unit,568200,0.713105772672658,1.817485027360867,-0.40421974623422646,-0.3498276285037986
2022-05-01,5066.666666666667,12894141.33333333,4.63,1.25,Apartment_unit,566000,0.713105772672658,1.817485027360867,0.06101239223510447,-0.3498276285037986
2005-01-01,4487.5,10691670.33333333,5.6,2.75,Composite,239800,-1.8954914623824055,-1.6159494495787967,1.0866377884061305,0.8390174829969151
2005-02-01,4487.5,10691670.33333333,5.59,2.75,Composite,240500,-1.8954914623824055,-1.6159494495787967,1.076064330713646,0.8390174829969151
2005-03-01,4487.5,10691670.33333333,5.6,2.75,Composite,241300,-1.8954914623824055,-1.6159494495787967,1.0866377884061305,0.8390174829969151
2005-04-01,4487.5,10713523.0,5.67,2.75,Composite,242000,-1.8954914623824055,-1.5818833033519386,1.1606519922535243,0.8390174829969151
2005-05-01,4487.5,10713523.0,5.55,2.75,Composite,242600,-1.8954914623824055,-1.5818833033519386,1.0337704999437065,0.8390174829969151
2005-06-01,4487.5,10713523.0,5.31,2.75,Composite,244000,-1.8954914623824055,-1.5818833033519386,0.780007515324071,0.8390174829969151
2005-07-01,4487.5,10747577.33333333,5.26,2.75,Composite,246100,-1.8954914623824055,-1.528795965468329,0.7271402268616471,0.8390174829969151
2005-08-01,4487.5,10747577.33333333,5.32,2.75,Composite,248300,-1.8954914623824055,-1.528795965468329,0.7905809730165565,0.8390174829969151
2005-09-01,4487.5,10747577.33333333,5.3,3.0,Composite,250900,-1.8954914623824055,-1.528795965468329,0.7694340576315865,1.0371583349137008
2005-10-01,4487.5,10784437.0,5.39,3.25,Composite,253800,-1.8954914623824055,-1.4713353903498154,0.8645951768639495,1.2352991868304863
2005-11-01,4487.5,10784437.0,5.56,3.25,Composite,256600,-1.8954914623824055,-1.4713353903498154,1.044343957636191,1.2352991868304863
2005-12-01,4487.5,10784437.0,5.6,3.5,Composite,259100,-1.8954914623824055,-1.4713353903498154,1.0866377884061305,1.433440038747272
2006-01-01,4591.666666666667,10798303.0,5.65,3.75,Composite,262300,-1.4263192978041555,-1.449719667619643,1.1395050768685553,1.6315808906640576
2006-02-01,4591.666666666667,10798303.0,5.75,3.75,Composite,265000,-1.4263192978041555,-1.449719667619643,1.245239653793403,1.6315808906640576
2006-03-01,4591.666666666667,10798303.0,5.78,4.0,Composite,267900,-1.4263192978041555,-1.449719667619643,1.2769600268708576,1.8297217425808432
2006-04-01,4591.666666666667,10823390.33333333,5.88,4.25,Composite,271200,-1.4263192978041555,-1.4106109959498987,1.3826946037957053,2.0278625944976287
2006-05-01,4591.666666666667,10823390.33333333,6.05,4.5,Composite,274400,-1.4263192978041555,-1.4106109959498987,1.5624433845679468,2.2260034464144147
2006-06-01,4591.666666666667,10823390.33333333,6.12,4.5,Composite,277400,-1.4263192978041555,-1.4106109959498987,1.6364575884153407,2.2260034464144147
2006-07-01,4591.666666666667,10857064.33333333,6.26,4.5,Composite,280200,-1.4263192978041555,-1.358116560120112,1.7844859961101278,2.2260034464144147
2006-08-01,4591.666666666667,10857064.33333333,6.24,4.5,Composite,283100,-1.4263192978041555,-1.358116560120112,1.7633390807251585,2.2260034464144147
2006-09-01,4591.666666666667,10857064.33333333,6.13,4.5,Composite,285900,-1.4263192978041555,-1.358116560120112,1.6470310461078255,2.2260034464144147
2006-10-01,4591.666666666667,10893613.0,6.01,4.5,Composite,287300,-1.4263192978041555,-1.3011408032454383,1.5201495537980076,2.2260034464144147
2006-11-01,4591.666666666667,10893613.0,5.99,4.5,Composite,289300,-1.4263192978041555,-1.3011408032454383,1.4990026384130384,2.2260034464144147
2006-12-01,4591.666666666667,10893613.0,5.89,4.5,Composite,291800,-1.4263192978041555,-1.3011408032454383,1.3932680614881898,2.2260034464144147
2007-01-01,4732.5,10905949.33333333,5.91,4.5,Composite,294100,-0.7919985312943648,-1.2819096795731284,1.41441497687316,2.2260034464144147
2007-02-01,4732.5,10905949.33333333,6.0,4.5,Composite,297400,-0.7919985312943648,-1.2819096795731284,1.5095760961055231,2.2260034464144147
2007-03-01,4732.5,10905949.33333333,5.91,4.5,Composite,300200,-0.7919985312943648,-1.2819096795731284,1.41441497687316,2.2260034464144147
2007-04-01,4732.5,10928654.66666667,5.92,4.5,Composite,302900,-0.7919985312943648,-1.2465143103368954,1.4249884345656445,2.2260034464144147
2007-05-01,4732.5,10928654.66666667,6.01,4.5,Composite,306200,-0.7919985312943648,-1.2465143103368954,1.5201495537980076,2.2260034464144147
2007-06-01,4732.5,10928654.66666667,6.51,4.5,Composite,309100,-0.7919985312943648,-1.2465143103368954,2.0488224384222478,2.2260034464144147
2007-07-01,4732.5,10962962.0,6.6,4.75,Composite,311700,-0.7919985312943648,-1.1930325704735703,2.143983557654611,2.4241442983312003
2007-08-01,4732.5,10962962.0,6.62,4.75,Composite,313700,-0.7919985312943648,-1.1930325704735703,2.1651304730395813,2.4241442983312003
2007-09-01,4732.5,10962962.0,6.61,4.75,Composite,315800,-0.7919985312943648,-1.1930325704735703,2.1545570153470965,2.4241442983312003
2007-10-01,4732.5,11000639.33333333,6.69,4.75,Composite,317700,-0.7919985312943648,-1.134297333884392,2.239144676886975,2.4241442983312003
2007-11-01,4732.5,11000639.33333333,6.73,4.75,Composite,319400,-0.7919985312943648,-1.134297333884392,2.2814385076569144,2.4241442983312003
2007-12-01,4732.5,11000639.33333333,6.75,4.5,Composite,321500,-0.7919985312943648,-1.134297333884392,2.3025854230418834,2.2260034464144147
2008-01-01,4784.166666666667,11016754.0,6.81,4.25,Composite,323100,-0.5592891376635521,-1.109176162201435,2.366026169196792,2.0278625944976287
2008-02-01,4784.166666666667,11016754.0,6.72,4.25,Composite,323600,-0.5592891376635521,-1.109176162201435,2.2708650499644287,2.0278625944976287
2008-03-01,4784.166666666667,11016754.0,6.6,3.75,Composite,323600,-0.5592891376635521,-1.109176162201435,2.143983557654611,1.6315808906640576
2008-04-01,4784.166666666667,11042464.66666667,6.4,3.25,Composite,322500,-0.5592891376635521,-1.0690957755091937,1.9325144038049156,1.2352991868304863
2008-05-01,4784.166666666667,11042464.66666667,6.21,3.25,Composite,320700,-0.5592891376635521,-1.0690957755091937,1.7316187076477039,1.2352991868304863
